Time,Node,CarCount,BikeCount,BusCount,TruckCount,TrafficSituation
12:00:00 AM,10,31,0,4,4,low
12:15:00 AM,10,49,0,3,3,low
12:30:00 AM,10,46,0,3,6,low
12:45:00 AM,10,51,0,2,5,low
1:00:00 AM,10,57,6,15,16,normal
1:15:00 AM,10,44,0,5,4,low
1:30:00 AM,10,37,0,1,4,low
1:45:00 AM,10,42,4,4,5,low
2:00:00 AM,10,51,0,9,7,low
2:15:00 AM,10,34,0,4,7,low
2:30:00 AM,10,45,0,1,1,low
2:45:00 AM,10,45,0,1,3,low
3:00:00 AM,10,50,0,3,0,low
3:15:00 AM,10,34,0,4,4,low
3:30:00 AM,10,129,22,42,1,heavy
3:45:00 AM,10,144,16,49,0,heavy
4:00:00 AM,10,111,28,20,3,normal
4:15:00 AM,10,67,11,10,16,normal
4:30:00 AM,10,65,24,7,16,normal
4:45:00 AM,10,94,27,7,16,normal
5:00:00 AM,10,94,20,8,7,normal
5:15:00 AM,10,67,29,5,10,low
5:30:00 AM,10,56,12,2,14,normal
5:45:00 AM,10,57,13,3,11,low
6:00:00 AM,10,129,22,42,1,heavy
6:15:00 AM,10,144,16,49,0,heavy
6:30:00 AM,10,111,28,20,3,normal
6:45:00 AM,10,120,27,46,3,heavy
7:00:00 AM,10,102,39,47,1,heavy
7:15:00 AM,10,145,23,27,0,heavy
7:30:00 AM,10,114,37,21,5,heavy
7:45:00 AM,10,108,18,22,1,normal
8:00:00 AM,10,122,28,33,1,heavy
8:15:00 AM,10,114,39,30,3,heavy
8:30:00 AM,10,150,36,25,1,heavy
8:45:00 AM,10,107,10,49,2,heavy
9:00:00 AM,10,124,24,22,0,heavy
9:15:00 AM,10,77,16,39,29,high
9:30:00 AM,10,15,23,30,21,normal
9:45:00 AM,10,32,22,38,21,high
10:00:00 AM,10,68,13,29,24,high
10:15:00 AM,10,27,16,36,30,normal
10:30:00 AM,10,76,7,11,15,normal
10:45:00 AM,10,41,23,20,17,normal
11:00:00 AM,10,33,10,3,29,normal
11:15:00 AM,10,58,8,14,29,normal
11:30:00 AM,10,65,7,11,26,normal
11:45:00 AM,10,47,9,6,29,normal
12:00:00 PM,10,38,10,5,25,normal
12:15:00 PM,10,57,8,12,29,normal
12:30:00 PM,10,20,6,4,20,normal
12:45:00 PM,10,24,9,14,23,normal
1:00:00 PM,10,52,10,13,21,normal
1:15:00 PM,10,79,15,36,18,high
1:30:00 PM,10,84,24,22,18,normal
1:45:00 PM,10,59,19,35,16,high
2:00:00 PM,10,88,26,31,19,high
2:15:00 PM,10,24,11,32,13,normal
2:30:00 PM,10,110,17,23,20,heavy
2:45:00 PM,10,29,26,5,6,low
3:00:00 PM,10,43,26,11,20,normal
3:15:00 PM,10,68,28,9,15,normal
3:30:00 PM,10,108,16,8,18,normal
3:45:00 PM,10,101,26,8,14,normal
4:00:00 PM,10,141,31,36,6,heavy
4:15:00 PM,10,120,25,28,5,heavy
4:30:00 PM,10,137,23,44,5,heavy
4:45:00 PM,10,124,11,30,7,heavy
5:00:00 PM,10,145,25,49,7,heavy
5:15:00 PM,10,122,37,23,8,heavy
5:30:00 PM,10,136,30,20,9,heavy
5:45:00 PM,10,145,18,40,9,heavy
6:00:00 PM,10,138,34,28,5,heavy
6:15:00 PM,10,123,10,29,8,heavy
6:30:00 PM,10,105,15,21,9,normal
6:45:00 PM,10,75,22,20,11,normal
7:00:00 PM,10,90,12,10,13,normal
7:15:00 PM,10,102,22,20,16,normal
7:30:00 PM,10,61,18,15,27,high
7:45:00 PM,10,70,8,14,6,low
8:00:00 PM,10,80,17,12,34,high
8:15:00 PM,10,62,12,14,19,normal
8:30:00 PM,10,96,5,11,13,normal
8:45:00 PM,10,102,6,12,13,normal
9:00:00 PM,10,91,14,15,6,normal
9:15:00 PM,10,95,8,17,13,normal
9:30:00 PM,10,75,15,12,21,high
9:45:00 PM,10,53,21,20,10,normal
10:00:00 PM,10,13,1,0,19,normal
10:15:00 PM,10,10,0,1,24,normal
10:30:00 PM,10,16,2,0,33,normal
10:45:00 PM,10,11,1,0,29,normal
11:00:00 PM,10,18,2,1,13,normal
11:15:00 PM,10,15,0,1,11,low
11:30:00 PM,10,14,1,0,33,normal
11:45:00 PM,10,17,2,0,22,normal
12:00:00 AM,11,12,2,1,17,normal
12:15:00 AM,11,18,0,0,29,normal
12:30:00 AM,11,16,1,0,14,normal
12:45:00 AM,11,20,0,0,14,normal
1:00:00 AM,11,20,1,1,30,normal
1:15:00 AM,11,15,0,1,23,normal
1:30:00 AM,11,16,0,1,26,normal
1:45:00 AM,11,18,4,0,11,low
2:00:00 AM,11,17,3,1,36,normal
2:15:00 AM,11,14,4,1,10,low
2:30:00 AM,11,18,2,1,25,normal
2:45:00 AM,11,12,2,0,19,normal
3:00:00 AM,11,11,4,0,30,normal
3:15:00 AM,11,19,1,1,36,normal
3:30:00 AM,11,10,4,0,36,normal
3:45:00 AM,11,20,1,1,32,normal
4:00:00 AM,11,15,5,1,40,normal
4:15:00 AM,11,104,6,5,1,normal
4:30:00 AM,11,109,25,3,8,normal
4:45:00 AM,11,82,23,8,20,normal
5:00:00 AM,11,81,25,1,18,normal
5:15:00 AM,11,95,16,10,1,normal
5:30:00 AM,11,91,24,7,6,normal
5:45:00 AM,11,81,30,10,0,normal
6:00:00 AM,11,125,13,26,2,high
6:15:00 AM,11,125,39,49,3,heavy
6:30:00 AM,11,125,34,37,1,heavy
6:45:00 AM,11,125,19,25,4,heavy
7:00:00 AM,11,125,15,49,0,heavy
7:15:00 AM,11,125,32,50,5,heavy
7:30:00 AM,11,125,38,50,1,heavy
7:45:00 AM,11,125,29,29,3,heavy
8:00:00 AM,11,125,31,48,4,heavy
8:15:00 AM,11,125,32,50,0,heavy
8:30:00 AM,11,125,31,45,0,heavy
8:45:00 AM,11,125,21,20,1,normal
9:00:00 AM,11,125,28,36,0,heavy
9:15:00 AM,11,39,10,37,16,normal
9:30:00 AM,11,89,8,12,13,normal
9:45:00 AM,11,51,16,16,13,normal
10:00:00 AM,11,17,9,18,28,normal
10:15:00 AM,11,48,25,36,21,high
10:30:00 AM,11,93,7,30,16,high
10:45:00 AM,11,55,15,36,15,high
11:00:00 AM,11,51,10,8,22,normal
11:15:00 AM,11,51,7,3,24,normal
11:30:00 AM,11,51,9,7,30,normal
11:45:00 AM,11,51,7,14,20,normal
12:00:00 PM,11,51,10,14,20,normal
12:15:00 PM,11,51,10,6,22,normal
12:30:00 PM,11,51,8,11,22,normal
12:45:00 PM,11,51,6,10,26,normal
1:00:00 PM,11,51,7,7,27,normal
1:15:00 PM,11,104,17,25,20,normal
1:30:00 PM,11,6,28,27,14,normal
1:45:00 PM,11,54,29,37,9,high
2:00:00 PM,11,43,13,30,20,normal
2:15:00 PM,11,60,21,26,11,high
2:30:00 PM,11,101,23,8,20,normal
2:45:00 PM,11,62,26,19,11,normal
3:00:00 PM,11,39,24,13,11,low
3:15:00 PM,11,90,20,35,7,high
3:30:00 PM,11,109,30,22,20,heavy
3:45:00 PM,11,68,26,25,20,normal
4:00:00 PM,11,142,22,37,6,heavy
4:15:00 PM,11,113,14,20,5,normal
4:30:00 PM,11,142,13,37,8,heavy
4:45:00 PM,11,108,23,26,9,high
5:00:00 PM,11,122,29,30,7,heavy
5:15:00 PM,11,133,12,30,7,heavy
5:30:00 PM,11,118,23,38,10,heavy
5:45:00 PM,11,121,35,26,8,heavy
6:00:00 PM,11,116,23,20,8,normal
6:15:00 PM,11,132,12,27,8,heavy
6:30:00 PM,11,144,17,33,7,heavy
6:45:00 PM,11,103,21,11,11,normal
7:00:00 PM,11,107,15,10,15,normal
7:15:00 PM,11,50,10,10,17,normal
7:30:00 PM,11,108,15,10,6,normal
7:45:00 PM,11,108,24,15,29,heavy
8:00:00 PM,11,101,6,15,13,normal
8:15:00 PM,11,55,17,12,19,normal
8:30:00 PM,11,77,7,20,16,normal
8:45:00 PM,11,91,12,19,8,normal
9:00:00 PM,11,95,25,17,29,high
