Time,Node,CarCount,BikeCount,BusCount,TruckCount,TrafficSituation
00:00:00,10,31,0,4,4,low
01:00:00,10,57,6,15,16,normal
02:00:00,10,51,0,9,7,low
03:00:00,10,50,0,3,0,low
04:00:00,10,111,28,20,3,normal
05:00:00,10,94,20,8,7,normal
06:00:00,10,129,22,42,1,heavy
07:00:00,10,102,39,47,1,heavy
08:00:00,10,122,28,33,1,heavy
09:00:00,10,124,24,22,0,heavy
10:00:00,10,68,13,29,24,high
11:00:00,10,33,10,3,29,normal
12:00:00,10,38,10,5,25,normal
13:00:00,10,52,10,13,21,normal
14:00:00,10,88,26,31,19,high
15:00:00,10,43,26,11,20,normal
16:00:00,10,141,31,36,6,heavy
17:00:00,10,145,25,49,7,heavy
18:00:00,10,138,34,28,5,heavy
19:00:00,10,90,12,10,13,normal
20:00:00,10,80,17,12,34,high
21:00:00,10,91,14,15,6,normal
22:00:00,10,13,1,0,19,normal
23:00:00,10,18,2,1,13,normal
00:00:00,11,12,2,1,17,normal
01:00:00,11,20,1,1,30,normal
02:00:00,11,17,3,1,36,normal
03:00:00,11,11,4,0,30,normal
04:00:00,11,15,5,1,40,normal
05:00:00,11,81,25,1,18,normal
06:00:00,11,125,13,26,2,high
07:00:00,11,125,15,49,0,heavy
08:00:00,11,125,31,48,4,heavy
09:00:00,11,125,28,36,0,heavy
10:00:00,11,17,9,18,28,normal
11:00:00,11,51,10,8,22,normal
12:00:00,11,51,10,14,20,normal
13:00:00,11,51,7,7,27,normal
14:00:00,11,43,13,30,20,normal
15:00:00,11,39,24,13,11,low
16:00:00,11,142,22,37,6,heavy
17:00:00,11,122,29,30,7,heavy
18:00:00,11,116,23,20,8,normal
19:00:00,11,107,15,10,15,normal
20:00:00,11,101,6,15,13,normal
21:00:00,11,95,25,17,29,high
22:00:00,11,18,4,0,16,normal
23:00:00,11,18,5,0,21,normal
00:00:00,12,18,1,1,39,normal
01:00:00,12,18,0,0,13,normal
02:00:00,12,18,1,1,34,normal
03:00:00,12,18,5,0,28,normal
04:00:00,12,18,5,1,30,normal
05:00:00,12,85,22,9,9,normal
06:00:00,12,117,38,50,5,heavy
07:00:00,12,125,30,48,1,heavy
08:00:00,12,147,31,20,4,heavy
09:00:00,12,144,30,37,1,heavy
10:00:00,12,26,2,39,26,normal
11:00:00,12,60,5,14,21,normal
12:00:00,12,41,7,7,21,normal
13:00:00,12,52,9,8,20,normal
14:00:00,12,45,14,39,5,normal
15:00:00,12,86,28,13,5,normal
16:00:00,12,105,35,48,6,heavy
17:00:00,12,103,20,27,9,high
18:00:00,12,112,11,50,5,heavy
19:00:00,12,60,15,12,25,high
20:00:00,12,62,12,11,18,normal
21:00:00,12,98,13,18,21,high
22:00:00,12,17,3,0,29,normal
23:00:00,12,14,2,0,23,normal
00:00:00,13,18,4,1,15,normal
01:00:00,13,10,4,0,23,normal
02:00:00,13,18,4,1,36,normal
03:00:00,13,19,2,0,11,low
04:00:00,13,11,0,0,27,normal
05:00:00,13,58,13,4,15,normal
06:00:00,13,71,9,7,10,low
07:00:00,13,57,14,3,11,low
08:00:00,13,47,10,4,10,low
09:00:00,13,53,19,1,10,low
10:00:00,13,131,43,20,3,heavy
11:00:00,13,169,70,20,3,heavy
12:00:00,13,144,68,20,0,heavy
13:00:00,13,136,57,29,4,heavy
14:00:00,13,171,49,15,0,heavy
15:00:00,13,148,64,27,0,heavy
16:00:00,13,77,20,7,0,low
17:00:00,13,66,26,4,1,low
18:00:00,13,70,26,16,2,normal
19:00:00,13,76,24,23,0,normal
20:00:00,13,47,7,3,6,low
21:00:00,13,43,9,1,11,low
22:00:00,13,15,5,0,18,normal
23:00:00,13,19,1,0,31,normal
00:00:00,14,18,4,0,33,normal
01:00:00,14,10,4,1,21,normal
02:00:00,14,20,2,0,12,low
03:00:00,14,13,2,0,39,normal
04:00:00,14,15,4,0,16,normal
05:00:00,14,98,12,6,6,normal
06:00:00,14,120,12,22,3,normal
07:00:00,14,110,39,38,5,heavy
08:00:00,14,149,35,32,1,heavy
09:00:00,14,139,15,21,3,heavy
10:00:00,14,18,24,21,22,normal
11:00:00,14,54,5,13,23,normal
12:00:00,14,54,7,7,20,normal
13:00:00,14,68,6,12,24,normal
14:00:00,14,105,14,8,19,normal
15:00:00,14,15,11,30,14,normal
16:00:00,14,114,10,22,9,normal
17:00:00,14,143,37,38,8,heavy
18:00:00,14,128,37,20,9,heavy
19:00:00,14,65,15,15,8,low
20:00:00,14,50,12,15,18,normal
21:00:00,14,110,14,17,8,normal
22:00:00,14,10,1,0,33,normal
23:00:00,14,15,0,0,16,normal
00:00:00,15,18,5,1,19,normal
01:00:00,15,20,1,1,24,normal
02:00:00,15,19,2,1,30,normal
03:00:00,15,16,1,0,24,normal
04:00:00,15,14,1,1,34,normal
05:00:00,15,75,1,8,10,low
06:00:00,15,111,18,41,2,heavy
07:00:00,15,105,16,22,3,normal
08:00:00,15,119,36,41,0,heavy
09:00:00,15,113,35,48,3,heavy
10:00:00,15,82,17,31,20,high
11:00:00,15,35,9,8,29,normal
12:00:00,15,62,10,11,22,normal
13:00:00,15,35,10,5,30,normal
14:00:00,15,63,22,18,15,normal
15:00:00,15,109,18,13,6,normal
16:00:00,15,129,28,40,6,heavy
17:00:00,15,125,35,37,5,heavy
18:00:00,15,138,29,42,9,heavy
19:00:00,15,92,23,20,30,high
20:00:00,15,58,5,19,25,normal
21:00:00,15,96,9,18,25,high
22:00:00,15,20,3,0,16,normal
23:00:00,15,10,0,1,31,normal
00:00:00,16,18,4,1,28,normal
01:00:00,16,20,2,1,33,normal
02:00:00,16,18,3,1,26,normal
03:00:00,16,15,4,1,29,normal
04:00:00,16,20,0,1,30,normal
